timestamp,action,price,indicators,result
2025-01-22 16:10:35,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:36,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:38,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:39,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:41,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:42,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:44,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:46,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:47,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:49,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:50,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:52,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:54,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:55,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:57,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:10:58,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:11:00,analysis,1.04426,{'rsi': 74.65437788018207, 'ema_short': 1.0440175414192354, 'ema_medium': 1.043896212373974, 'ema_long': 1.0437581918013916, 'bb_upper': 1.0441804187447983, 'bb_lower': 1.043512081255202, 'bb_sma': 1.04384625},None
2025-01-22 16:11:02,analysis,1.04457,{'rsi': 78.34645669291318, 'ema_short': 1.0441418724744536, 'ema_medium': 1.043970759483805, 'ema_long': 1.04378882192777, 'bb_upper': 1.0443339680353634, 'bb_lower': 1.043458031964637, 'bb_sma': 1.0438960000000002},None
2025-01-22 16:11:03,analysis,1.04457,{'rsi': 78.34645669291318, 'ema_short': 1.0441418724744536, 'ema_medium': 1.043970759483805, 'ema_long': 1.04378882192777, 'bb_upper': 1.0443339680353634, 'bb_lower': 1.043458031964637, 'bb_sma': 1.0438960000000002},None
